Position,StateName,Name_x,Name_y,Handle,Affiliation,Body,Score,RankY,RankX,ndups
IN02,Indiana,Jackie Walorski,Jackie Walorski,@RepWalorski,R,House of Representatives,100,0,0,0
NC03,North Carolina,Walter Jones,Walter B. Jones Jr.,@RepWalterJones,R,House of Representatives,77,0,0,0
FL11,Texas,Daniel Webster,Randy Weber,@RepWebster,R,House of Representatives,64,1,0,0
VA10,Virginia,Jennifer Wexton,Jennifer Wexton,@RepWexton,D,House of Representatives,100,0,0,0
FL24,Florida,Frederica Wilson,Frederica Wilson,@RepWilson,D,House of Representatives,100,0,0,0
NY09,New York,Yvette Clarke,Yvette Clarke,@RepYvetteClarke,D,House of Representatives,100,0,0,0
CA50,California,Duncan Hunter,Duncan D. Hunter,@Rep_Hunter,R,House of Representatives,90,0,0,0
VA01,Virginia,Robert Wittman,Rob Wittman,@RobWittman,R,House of Representatives,88,0,0,0
IL13,Illinois,Rodney Davis,Danny K. Davis,@RodneyDavis,D,House of Representatives,62,2,0,0
GA02,Georgia,Sanford Bishop,Sanford Bishop,@SanfordBishop,D,House of Representatives,100,0,0,0
VA,Connecticut,Mark Murphy,Chris Murphy,@SenMurphyOffice,D,Senate,70,0,0,0
DE,New York,Thomas Rubio,Thomas Suozzi,@SenRubioPress,D,House of Representatives,72,1,0,0
FL,Mississippi,Rick Wicker,Roger Wicker,@SenatorWicker,R,Senate,70,0,0,0
LA01,Louisiana,Steve Scalise,Steve Scalise,@SteveScalise,R,House of Representatives,100,0,0,0
IN05,Indiana,Susan Brooks,Susan Brooks,@SusanWBrooks,R,House of Representatives,100,0,0,0
TX14,Texas,Randy Sr.,Randy Weber,@TXRandy14,R,House of Representatives,70,0,0,0
OK04,Oklahoma,Tom Cole,Tom Cole,@TomColeOK04,R,House of Representatives,100,0,0,0
HI02,Hawaii,Tulsi Gabbard,Tulsi Gabbard,@TulsiPress,D,House of Representatives,100,0,0,0
FL14,Florida,Kathy Castor,Kathy Castor,@USRepKCastor,D,House of Representatives,100,0,0,0
MA09,South Carolina,William Keating,William Timmons,@USRepKeating,R,House of Representatives,67,1,0,0
MO07,Missouri,Billy Long,Billy Long,@USRepLong,R,House of Representatives,100,0,0,0
FL16,Florida,Vern Buchanan,Vern Buchanan,@VernBuchanan,R,House of Representatives,100,0,0,0
OH08,Ohio,Warren Davidson,Warren Davidson,@WarrenDavidson,R,House of Representatives,100,0,0,0
SC06,South Carolina,James Clyburn,Jim Clyburn,@WhipClyburn,D,House of Representatives,83,0,0,0
OH05,Ohio,Robert Latta,Bob Latta,@boblatta,R,House of Representatives,76,0,0,0
WA05,Washington,Cathy Rodgers,Cathy McMorris Rodgers,@cathymcmorris,R,House of Representatives,74,0,0,0
ME01,Maine,Chellie Pingree,Chellie Pingree,@chelliepingree,D,House of Representatives,100,0,0,0
FL08,Florida,Bill Posey,Bill Posey,@congbillposey,R,House of Representatives,100,0,0,0
IA02,Iowa,David Loebsack,Dave Loebsack,@daveloebsack,D,House of Representatives,89,0,0,0
RI01,Rhode Island,David Cicilline,David Cicilline,@davidcicilline,D,House of Representatives,100,0,0,0
MT,New York,Steve Gillibrand,Kirsten Gillibrand,@gillibrandny,D,Senate,76,0,0,0
CA32,California,Grace Napolitano,Grace Napolitano,@gracenapolitano,D,House of Representatives,100,0,0,0
CT04,Connecticut,James Himes,Jim Himes,@jahimes,D,House of Representatives,80,0,0,0
IL09,Illinois,Janice Schakowsky,Jan Schakowsky,@janschakowsky,D,House of Representatives,90,0,0,0
MI03,Michigan,Justin Amash,Justin Amash,@justinamash,R,House of Representatives,100,0,0,0
TX26,Texas,Michael Burgess,Michael C. Burgess,@michaelcburgess,R,House of Representatives,91,0,0,0
NM03,New Mexico,Ben LujÃ¡n,Ben Ray Luján,@repbenraylujan,D,House of Representatives,70,0,0,0
OR03,Oregon,Earl Blumenauer,Earl Blumenauer,@repblumenauer,D,House of Representatives,100,0,0,0
MO05,Missouri,Emanuel Cleaver,Emanuel Cleaver,@repcleaver,D,House of Representatives,100,0,0,0
GA13,South Carolina,David Scott,Tim Scott,@repdavidscott,R,Senate,70,0,0,0
NV01,Nevada,Dina Titus,Dina Titus,@repdinatitus,D,House of Representatives,100,0,0,0
OR02,Oregon,Greg Walden,Greg Walden,@repgregwalden,R,House of Representatives,100,0,0,0
TN05,Tennessee,Jim Cooper,Jim Cooper,@repjimcooper,D,House of Representatives,100,0,0,0
GA05,Georgia,John Lewis,John Lewis,@repjohnlewis,D,House of Representatives,100,0,0,0
OK01,Oklahoma,Kevin Hern,Kevin Hern,@repkevinhern,R,House of Representatives,100,0,0,0
TX01,Texas,Louie Gohmert,Louie Gohmert,@replouiegohmert,R,House of Representatives,100,0,0,0
WI02,Wisconsin,Mark Pocan,Mark Pocan,@repmarkpocan,D,House of Representatives,100,0,0,0
SC04,South Carolina,William Timmons,William Timmons,@reptimmons,R,House of Representatives,100,0,0,0
CT03,Connecticut,Rosa DeLauro,Rosa DeLauro,@rosadelauro,D,House of Representatives,100,0,0,0
MA06,Massachusetts,Seth Moulton,Seth Moulton,@teammoulton,D,House of Representatives,100,0,0,0
NC05,North Carolina,Virginia Foxx,Virginia Foxx,@virginiafoxx,R,House of Representatives,100,0,0,0
NY,Maine,Charles Kaine,Chellie Pingree,N/A,D,House of Representatives,57,1,0,0
